id,time,maxMag,sampleCount,deduped,nearestRapidTime,recentCount,deltaMs
472498.7999999989-vdiw60,472498.7999999989,1576,8,false,472498.7999999989,19,
472499.0999999996-hbt32i,472499.0999999996,1576,8,false,472499.0999999996,20,
472499.19999999925-1hldrw,472499.19999999925,1576,8,false,472499.19999999925,21,
474889-b8kk46,474889,1192,8,false,474889,19,
474889.4000000004-ktafv4,474889.4000000004,1192,8,false,474889.4000000004,20,
474889.5999999996-4n4eek,474889.5999999996,1192,8,false,474889.5999999996,21,
477406.69999999925-k1ciii,477406.69999999925,1336,8,false,477406.69999999925,19,
477407-wi9pst,477407,1336,8,false,477407,20,
477407.0999999996-yajwmo,477407.0999999996,1336,8,false,477407.0999999996,21,
477512.4000000004-o531ed,477512.4000000004,2008,8,false,477512.4000000004,19,
477512.69999999925-up1kmj,477512.69999999925,2008,8,false,477512.69999999925,20,
477512.9000000004-ea9h4h,477512.9000000004,2008,8,false,477512.9000000004,21,
477575.9000000004-6pvik4,477575.9000000004,2004,8,false,477575.9000000004,19,
477576.0999999996-gvg3bt,477576.0999999996,2004,8,false,477576.0999999996,20,
477576.2999999989-bwkgks,477576.2999999989,2004,8,false,477576.2999999989,21,
477748.5999999996-a3s4se,477748.5999999996,1640,8,false,477748.5999999996,19,
477749-9y9ulh,477749,1640,8,false,477749,20,
477749.0999999996-3uonjj,477749.0999999996,1640,8,false,477749.0999999996,21,
477921.5-tx7u58,477921.5,2008,8,false,477921.5,19,
477921.9000000004-9jonha,477921.9000000004,2008,8,false,477921.9000000004,20,
477922-ayv8j2,477922,2008,8,false,477922,21,
478125.19999999925-9jiexe,478125.19999999925,2008,8,false,478125.19999999925,19,
478125.5-34d93v,478125.5,2008,8,false,478125.5,20,
478125.69999999925-h8qbtb,478125.69999999925,2008,8,false,478125.69999999925,21,
478235-yodcoh,478235,1536,8,false,478235,19,
478235.2999999989-arbhau,478235.2999999989,1536,8,false,478235.2999999989,20,
478235.4000000004-78vco8,478235.4000000004,1536,8,false,478235.4000000004,21,
479341.0999999996-6c28h9,479341.0999999996,1016,8,false,479341.0999999996,19,
479341.2999999989-8tiebb,479341.2999999989,1016,8,false,479341.2999999989,20,
479341.5-iigiwx,479341.5,1016,8,false,479341.5,21,
