timestamp_utc,measurement_index,pair,impedance_data,e_start_timestamp,second_g_timestamp
2025-12-10T14:20:33.420+01:00,0,"1,2",9999999,2025-12-10T14:20:34.982+01:00,2025-12-10T14:20:35.060+01:00
2025-12-10T14:20:33.460+01:00,1,"1,3",9999999,2025-12-10T14:20:34.982+01:00,2025-12-10T14:20:35.060+01:00
2025-12-10T14:20:33.470+01:00,2,"1,4",9999999,2025-12-10T14:20:34.982+01:00,2025-12-10T14:20:35.060+01:00
2025-12-10T14:20:33.500+01:00,3,"1,5",9999999,2025-12-10T14:20:34.982+01:00,2025-12-10T14:20:35.060+01:00
2025-12-10T14:20:33.510+01:00,4,"1,6",9999999,2025-12-10T14:20:34.982+01:00,2025-12-10T14:20:35.060+01:00
2025-12-10T14:20:33.539+01:00,5,"1,7",9999999,2025-12-10T14:20:34.982+01:00,2025-12-10T14:20:35.060+01:00
2025-12-10T14:20:33.550+01:00,6,"1,8",9999999,2025-12-10T14:20:34.982+01:00,2025-12-10T14:20:35.060+01:00
2025-12-10T14:20:33.580+01:00,7,"1,9",17550,2025-12-10T14:20:34.982+01:00,2025-12-10T14:20:35.060+01:00
2025-12-10T14:20:33.589+01:00,8,"2,1",9999999,2025-12-10T14:20:34.982+01:00,2025-12-10T14:20:35.060+01:00
2025-12-10T14:20:33.620+01:00,9,"2,3",9999999,2025-12-10T14:20:34.982+01:00,2025-12-10T14:20:35.060+01:00
2025-12-10T14:20:33.630+01:00,10,"2,4",9999999,2025-12-10T14:20:34.982+01:00,2025-12-10T14:20:35.060+01:00
2025-12-10T14:20:33.660+01:00,11,"2,5",9999999,2025-12-10T14:20:34.982+01:00,2025-12-10T14:20:35.060+01:00
2025-12-10T14:20:33.670+01:00,12,"2,6",9999999,2025-12-10T14:20:34.982+01:00,2025-12-10T14:20:35.060+01:00
2025-12-10T14:20:33.700+01:00,13,"2,7",9999999,2025-12-10T14:20:34.982+01:00,2025-12-10T14:20:35.060+01:00
2025-12-10T14:20:33.710+01:00,14,"2,8",9999999,2025-12-10T14:20:34.982+01:00,2025-12-10T14:20:35.060+01:00
2025-12-10T14:20:33.740+01:00,15,"2,9",9999999,2025-12-10T14:20:34.982+01:00,2025-12-10T14:20:35.060+01:00
2025-12-10T14:20:33.750+01:00,16,"3,1",9999999,2025-12-10T14:20:34.982+01:00,2025-12-10T14:20:35.060+01:00
