timestamp_utc,measurement_index,pair,impedance_data,e_start_timestamp,second_g_timestamp
2025-12-10T14:29:42.360+01:00,40,"6,1",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.364+01:00,41,"6,2",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.400+01:00,42,"6,3",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.405+01:00,43,"6,4",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.439+01:00,44,"6,5",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.445+01:00,45,"6,7",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.480+01:00,46,"6,8",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.484+01:00,47,"6,9",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.519+01:00,48,"7,1",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.524+01:00,49,"7,2",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.560+01:00,50,"7,3",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.565+01:00,51,"7,4",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.599+01:00,52,"7,5",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.612+01:00,53,"7,6",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.639+01:00,54,"7,8",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.652+01:00,55,"7,9",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.679+01:00,56,"8,1",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.692+01:00,57,"8,2",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.719+01:00,58,"8,3",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.732+01:00,59,"8,4",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.759+01:00,60,"8,5",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.772+01:00,61,"8,6",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.799+01:00,62,"8,7",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.804+01:00,63,"8,9",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.839+01:00,64,"9,1",33089,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.844+01:00,65,"9,2",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.880+01:00,66,"9,3",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.884+01:00,67,"9,4",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.919+01:00,68,"9,5",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.924+01:00,69,"9,6",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.959+01:00,70,"9,7",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:42.965+01:00,71,"9,8",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:47.840+01:00,72,"1,2",26474,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:47.880+01:00,73,"1,3",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:47.894+01:00,74,"1,4",25995,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:47.914+01:00,75,"1,5",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:47.934+01:00,76,"1,6",25710,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:47.955+01:00,77,"1,7",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:47.975+01:00,78,"1,8",25431,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:47.990+01:00,79,"1,9",25121,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.012+01:00,80,"2,1",26474,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.030+01:00,81,"2,3",24657,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
